0,Laura,1995-03-12,laura@email.com,Medellín,Ruta,BiciCity,1/2,0/1/2
1,Camilo,1990-07-25,camilo@email.com,Envigado,Montaña,BiciPro,0/2,3/4/5
2,Sara,1988-11-05,sara@email.com,Bello,Ruta,BiciCity,0/1,6/7
3,Andrés,1992-02-18,andres@email.com,Medellín,Montaña,BiciPro,4/5,8/9/10
4,Valentina,1998-09-30,valentina@email.com,Itagüí,Ruta,BiciCity,3/5,11/12
5,Juan,1993-06-14,juan@email.com,Medellín,Montaña,BiciPro,3/4,13/14
6,Paula,1997-12-22,paula@email.com,Medellín,Ruta,BiciCity,7/8,0/3/6
7,Esteban,1985-05-09,esteban@email.com,La Estrella,Montaña,BiciPro,6/8,2/5/8
8,Mariana,1996-08-17,mariana@email.com,Medellín,Ruta,BiciCity,6/7,1/4/7
9,David,1991-10-03,david@email.com,Medellín,Montaña,BiciPro,0/1,9/10/12
